사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,3호선,74,동대입구,20,1,1455,1265,2278,8573,5313,15746,7179,47415,5845,24091,5023,13892,6180,11736,6712,10530,8284,10321,11421,10481,11458,8536,15874,7998,33898,9637,32892,10806,15736,7723,10256,4184,10657,4510,9884,3762,2857,2693,3,495,0,0,0,0,0,0
20-Jul,3호선,75,약수,138,2,6310,1080,10863,6320,27023,16181,40106,35495,26848,20957,18103,15268,16781,14247,18387,14827,19207,15424,18821,15995,19873,17400,20947,21141,25446,27595,34659,42632,18673,29512,14843,18438,14159,17025,11360,15838,4169,10069,8,2849,0,0,0,0,0,0
20-Jul,3호선,76,금호,38,11,4745,608,10394,2901,28011,4825,37250,8698,23113,6870,14406,6720,11934,6762,11860,7598,11616,8831,10110,9804,10226,11920,10837,14715,11459,20171,12280,30752,7997,23195,6166,15447,4900,13357,3906,12768,1489,7487,0,0,0,0,0,0,0,0
20-Jul,3호선,77,옥수,265,19,3464,1049,9562,4778,24451,8201,32652,15972,20734,11030,14356,8580,12989,9630,12957,10361,14199,12354,12878,12334,13156,14507,15664,17302,17541,24279,18763,36070,12041,27255,9570,17334,8548,15694,6869,15459,2661,8074,80,795,0,0,0,0,0,0
20-Jul,3호선,78,압구정,63,0,3111,2164,8467,23053,16504,49166,24743,153107,18415,155381,21278,70242,27287,56106,32267,47470,38107,53232,44540,48522,54999,42878,65108,42557,84264,52331,144977,63991,103711,37085,76278,17670,58260,12973,43832,11516,11751,5996,15,2180,0,0,0,0,0,0
20-Jul,3호선,79,신사,84,1,3581,1569,6536,19596,11431,44859,18078,119564,14434,139443,15823,67222,21252,46433,25153,48503,29818,52193,37220,50294,45062,47666,56478,47589,87097,56467,142364,81200,100103,46603,66641,20092,73806,13391,66587,9513,22802,6981,6,264,0,0,0,1,0,0
20-Jul,3호선,80,잠원,3,0,1656,685,6107,5144,15769,8248,20715,10336,12888,7151,8143,5220,7995,5563,8539,6459,8116,7257,7688,7265,8249,8111,9845,9099,12115,12213,11704,19056,7378,13973,5207,8615,5144,8143,3956,8906,1219,5336,0,42,0,0,0,0,0,0
20-Jul,3호선,81,고속터미널,67,2,4942,3317,7036,28472,25163,45482,40623,74842,41971,89647,41937,81854,53029,86794,63557,83398,72993,84738,79397,85860,90102,90907,102473,90536,125393,98179,132781,119208,108396,75036,119860,42235,80708,32307,58539,23077,18445,13942,5,475,0,0,0,0,0,0
20-Jul,3호선,82,교대(법원.검찰청),17,0,1340,669,3131,7240,8134,23382,11475,51684,9245,36235,10418,16293,13414,11712,15289,10883,17879,11506,20693,10702,23712,10085,26645,10214,42720,13249,72195,19560,29639,10815,23211,5079,26338,3728,28102,3466,7386,2716,4,51,0,0,0,0,0,0
20-Jul,3호선,83,남부터미널(예술의전당),51,0,2776,1272,8633,26568,27204,63615,41075,162307,31987,85830,30196,46474,33809,36627,34582,39102,39414,41720,40133,46301,46396,43360,53820,45239,93879,49636,149368,60285,69018,40311,46139,23729,42426,18485,31148,14348,9107,9568,3,148,0,0,0,0,0,0
20-Jul,3호선,84,양재(서초구청),82,2,5358,2807,14398,39313,34950,107909,44349,262192,30537,127794,27615,55678,30747,44378,34483,39053,39885,44704,44231,40886,52220,39691,63067,41406,120189,55513,217875,78331,97638,52290,63251,30810,60435,26359,43942,22685,12039,14343,15,1661,0,1,0,0,0,0
20-Jul,3호선,85,매봉,9,2,1688,692,6035,9649,15569,22359,17889,74639,13101,34735,10178,13794,10372,12333,10718,10968,12083,10886,13955,10449,16014,11081,18980,11086,33082,15578,68197,21678,24293,15190,15313,8390,16275,7619,10681,7348,3014,4432,7,579,0,0,0,0,0,0
20-Jul,3호선,86,도곡,29,0,1042,356,3723,4226,9275,14361,11409,21068,7057,16059,5123,7605,5523,6380,6477,6518,7126,6737,7200,6233,8742,6061,11413,5966,16157,7801,18998,10796,9995,8985,6330,5063,5749,4641,4264,4828,1138,2867,6,2149,0,0,0,0,0,0
20-Jul,3호선,87,대치,10,1,2712,763,11380,7625,26794,19532,23988,25141,14137,17459,10628,13104,10962,11727,13266,14003,13939,16803,13569,16087,16329,18286,17147,19649,24511,24103,27857,28165,17901,23113,13415,12050,14877,11403,29472,11768,3248,7015,0,16,0,1,0,0,0,0
20-Jul,3호선,88,학여울,5,1,468,263,1638,2002,3972,3492,4045,8388,2707,5063,2166,3575,2355,2644,2916,2882,2886,3474,3178,3203,4022,3247,4691,2652,6182,3308,7476,4536,3198,3640,2022,2069,2009,1780,1461,1953,257,1329,0,4,0,1,1,0,0,0
20-Jul,3호선,89,대청,32,1,3815,1220,10750,7610,28140,15891,32168,24716,16820,14084,13675,8522,12592,7999,12299,9074,12863,9691,13544,9943,18293,12335,17007,13225,22329,16693,26108,25651,12748,22187,7711,14147,6657,12708,4807,14445,1378,8718,0,111,0,0,0,0,0,0
20-Jul,3호선,90,일원,1,0,2023,1471,8354,8460,23586,28922,22240,25260,14689,17364,14162,15532,15156,11051,15119,12553,13447,13756,14714,12112,18584,11257,22911,9698,31925,12839,16901,19012,8968,16500,6247,10221,4455,9368,3365,10734,911,5406,0,99,0,0,0,0,0,0
20-Jul,3호선,91,수서,246,7,4557,1920,12977,15286,35394,32428,42640,54967,27838,32338,26700,20467,21879,16756,25095,20871,24508,20175,20359,21129,28465,23619,32020,26306,39321,33098,53698,48191,24453,37410,21967,24612,15225,19551,14186,20851,4424,9865,1,1089,0,0,0,0,0,0
20-Jul,3호선,92,가락시장,8,2,2554,688,7404,5305,21392,10611,23443,32352,15385,16575,13039,10804,12970,11020,12700,11140,13061,11454,13259,11959,14102,13653,15320,14708,18875,17408,32152,25529,13263,18739,9673,11819,9034,10061,6880,9464,1941,5603,8,1594,0,0,0,0,0,0
20-Jul,3호선,93,경찰병원,8,0,2638,151,7422,3174,22878,8770,27030,31653,15448,14913,11004,9422,9604,7165,9432,8805,10293,9321,9995,8998,10354,8753,10533,9554,16195,13399,22268,21395,7408,17514,5772,11717,6108,8669,3674,8565,908,4870,1,1172,0,0,0,0,0,0
20-Jul,3호선,94,오금,9,0,3309,11,8111,2097,27108,5977,31215,15019,14818,6178,8515,4623,7793,4192,8014,4938,8056,5429,6427,5640,6193,7438,7503,8750,10113,12530,13180,21071,5253,15110,3830,11532,3387,9111,2419,10203,568,5875,0,1765,0,0,0,0,0,0
20-Jul,4호선,100,수유(강북구청),142,8,21061,3430,45891,12140,119832,20546,131798,55835,77142,39128,51280,29447,46497,31151,47668,34170,47678,37528,44636,41416,44719,48294,47128,59309,52966,75495,62669,125796,38019,115429,29024,68953,26410,60403,23286,54998,10558,38777,6,701,0,0,0,0,0,0
20-Jul,4호선,101,미아(서울사이버대학),53,9,10783,1888,20838,5598,51989,17028,58149,31165,33915,18731,23881,15236,21614,14378,22444,15664,21353,16445,21443,18045,22546,22570,22410,26178,24578,31903,28248,48642,17406,42924,12096,25274,9427,22148,7176,20170,2786,14246,2,146,0,0,0,0,0,0
20-Jul,4호선,102,미아사거리,29,0,14992,2485,38627,9003,101765,19984,111091,34637,61706,33437,40137,27021,36839,29307,38165,31121,38814,32710,37428,35483,39427,44687,44869,51456,43888,67069,45660,107762,33863,91330,33353,51249,20746,45013,16693,39481,7332,25045,3,171,1,1,0,0,0,0
20-Jul,4호선,103,길음,17,2,9654,1891,30709,9240,87540,13960,90963,26192,46049,21061,29572,16284,24803,16889,25664,18441,26186,20539,23206,21374,24000,26624,26827,33239,31533,45956,30489,75874,18331,65053,14557,36967,11054,33519,11000,32939,3508,21104,2,82,0,0,0,0,0,0
20-Jul,4호선,104,성신여대입구(돈암),45,5,5385,1804,17832,7131,47522,16938,58549,34261,35546,27853,24644,20441,24885,20691,27704,24212,28091,26365,27825,27453,30193,29838,35671,34902,39958,45271,46368,68971,29672,56265,26901,33048,28329,28455,27005,27352,10276,19019,2,145,0,0,0,0,0,0
20-Jul,4호선,105,한성대입구(삼선교),76,11,6793,1086,12933,6397,31761,18805,39935,28703,25057,23554,18140,15025,17245,14768,19189,16306,20056,17021,18737,17150,23106,18331,28501,20802,28319,28960,32431,38893,17257,31810,13661,18745,13004,17203,11139,17669,4217,13419,2,5140,0,0,0,0,0,0
20-Jul,4호선,106,혜화,51,1,3702,2537,7450,21296,17698,50374,21266,121214,23928,78219,28962,51800,32633,43816,32858,53316,34556,70649,43276,64162,55749,51154,70371,49782,94042,61422,119092,75768,62034,57096,59241,20942,76360,17518,83257,15942,25449,11354,4,540,0,0,0,1,0,0
20-Jul,4호선,107,동대문,276,17,6958,3002,3639,14667,5750,39626,8145,84405,12637,72307,18480,59591,25825,53659,32225,41983,36021,42254,44698,41019,52174,34439,62019,25134,93447,18622,80249,13508,33951,16860,23040,11732,24785,6766,14338,4975,6004,6550,2,153,0,1,0,0,0,0
20-Jul,4호선,108,동대문역사문화공원(DDP),319,4,8206,1558,4582,11702,6535,28059,7563,74822,7187,38425,7742,24674,11071,22541,13846,19574,15965,20184,20519,18855,25201,16678,30493,15294,50386,16425,77784,18525,39770,26438,29052,13190,28815,8243,22508,6037,8940,5648,10,681,0,0,0,0,0,0
20-Jul,4호선,109,충무로,106,2,3000,2750,4129,18715,8374,56632,12541,183050,12669,104004,13369,47266,17191,36297,21465,32195,26895,33129,33292,29111,36529,25419,47631,25933,85632,30016,152104,37214,68682,21843,46480,10965,45718,9613,38035,8335,16245,7172,13,942,0,1,0,2,0,0
20-Jul,4호선,110,명동,18,0,571,1090,1865,13942,3300,44083,4829,108262,6910,65687,8833,36615,12251,34138,15653,31361,20971,31058,24846,27843,31675,25313,42179,24005,58104,24635,101760,24393,49466,14575,40159,6492,38050,4142,21701,2721,5213,1817,1,216,0,0,0,0,0,0
20-Jul,4호선,111,회현(남대문시장),37,0,1806,779,3249,19118,4622,53353,7319,132902,8512,95171,12872,71867,22030,60621,29724,48528,39306,42088,46128,38031,53377,31969,70048,23938,94119,18194,123047,15139,45881,8162,42022,4137,18521,4763,11423,3881,3565,2186,2,308,2,2,0,0,0,0
20-Jul,4호선,112,서울역,153,2,4359,567,5258,10993,11728,36265,15048,93754,10558,46703,8647,20278,10285,17705,10915,20327,12261,21021,11697,19858,13865,22445,16370,23151,38933,27765,71724,29055,22950,21752,13896,14492,12946,12728,9842,11871,3543,7582,3,1598,0,1,0,0,0,0
20-Jul,4호선,113,숙대입구(갈월),13,0,3055,1182,7704,7291,18187,22853,26204,51402,17210,30296,13649,15388,13745,14441,15856,14912,16770,15993,16465,16062,19734,16764,25850,17829,33216,24015,52225,33860,24079,23235,17823,13966,17581,12587,15316,11806,6787,8386,0,3,0,0,0,0,0,0
20-Jul,4호선,114,삼각지,4,0,557,504,2016,4603,5345,10656,7765,26733,5034,11092,3707,6178,3798,5655,4644,5741,5245,5578,5296,5431,5822,5687,7205,6285,12906,8558,25033,12774,9501,8164,6794,4828,6686,4208,5288,3936,2280,3033,3,405,0,0,0,0,0,0
20-Jul,4호선,115,신용산,6,0,1164,1394,4172,11898,10655,34947,15285,103785,11592,61468,9417,24372,12170,18608,13320,17358,15686,18843,16650,17894,21142,17301,27487,18367,51751,21947,97727,30543,41057,19109,26835,10359,24136,7894,17172,6796,6172,3912,0,1,0,0,0,0,0,0
20-Jul,4호선,116,이촌(국립중앙박물관),41,2,1151,845,4657,8707,13325,16103,17373,26917,11063,14601,8023,9713,8358,9428,9518,10305,9751,11338,9774,10538,11564,10830,16036,12172,19253,14849,23212,22749,10422,16267,7394,9652,8127,7865,5140,8158,1916,4566,5,47,0,0,0,0,0,0
20-Jul,4호선,117,동작(현충원),32,0,570,260,1605,3202,5413,4343,6377,6797,4233,4238,3420,3141,3493,2984,3290,3012,3437,3513,3396,3658,4186,4161,4612,4611,6554,5620,7770,8060,4171,6524,3909,3888,3863,3169,2963,2805,1027,1887,9,697,0,0,0,0,0,0
20-Jul,4호선,118,총신대입구(이수),103,6,6705,1194,17184,11931,48738,18417,63683,44484,36334,34869,25404,24289,24905,23444,26678,25495,26255,28613,26887,29257,27285,31509,31263,38804,36027,51205,46837,81889,27112,55415,24065,29862,22291,25800,19415,24196,8051,13907,29,1784,0,0,0,0,0,0
20-Jul,4호선,119,사당,74,5,10847,1019,24970,16952,69966,22984,91216,33888,62908,26278,38081,20751,31578,23873,32956,24828,34292,24860,31877,24649,30907,28466,33390,37526,41862,55944,48650,92744,32764,64745,27869,34429,32777,31374,31487,31282,12776,21436,19,4652,0,4,0,0,0,0
20-Jul,4호선,120,남태령,32,0,395,135,1058,1337,2472,3751,3031,4306,2434,1778,1698,1193,1898,925,1774,1192,1700,1129,1899,1197,1650,1263,2411,1264,3435,1490,3463,2009,1513,1598,1085,1048,552,1040,348,826,124,518,1,62,0,0,0,0,0,0
20-Jul,4호선,95,당고개,48,1,8407,34,19124,7222,57024,8710,52299,13365,28863,12845,20428,12636,17260,11777,17668,12606,17945,12865,16606,14159,15887,16991,16557,20969,18705,25307,17760,38259,12794,37879,8139,23812,6641,21036,4949,19914,1403,15932,4,1257,0,0,0,0,0,0
20-Jul,4호선,96,상계,50,2,13141,213,37680,7334,95007,16010,81430,21044,41375,15577,28311,14880,25672,14805,26454,18316,25000,19367,22857,19599,23166,24487,24984,30314,24408,39426,25039,65016,15888,65239,11793,37724,10762,32324,12246,31383,3203,24361,7,969,0,1,0,0,0,0
20-Jul,4호선,97,노원,169,4,11903,544,26143,9088,57622,15505,57358,31154,32759,33045,24931,23937,23965,22211,25807,26011,26883,28611,26107,30133,27045,33295,31405,38008,33451,52254,36203,83686,26018,71145,27635,40556,25489,34699,26165,31117,9660,23303,35,4143,0,0,0,0,0,0
20-Jul,4호선,98,창동,1817,27,17244,3187,39748,12849,101669,20468,85439,41316,52261,28839,38267,26473,35738,28417,36966,33974,36771,40772,35101,46670,38783,47609,45328,53892,49755,63252,50391,99228,29993,89758,22982,51856,20641,44563,17694,41182,7469,28134,363,5015,0,0,0,0,0,0
20-Jul,4호선,99,쌍문,87,11,22999,1104,54772,9589,132088,15597,138634,29451,76553,20797,49195,19366,41458,20229,40032,24002,37748,25673,33706,29862,32922,38037,35290,47515,37471,62600,38059,104880,24449,102985,17723,61188,14855,52434,11707,50557,4902,34047,5,1690,0,0,0,0,0,0
20-Jul,경부선,121,서울역,3,2,43,244,46,1631,6911,3155,15223,3961,9066,2366,7805,1799,9091,1131,9421,1515,8307,1610,5209,1652,10003,1849,11217,2149,12465,4009,13489,5927,12519,3173,7984,1725,8714,1354,6731,1228,2779,327,14,10,1,1,0,0,0,0
20-Jul,경부선,122,남영,124,0,2846,1785,4690,8449,12676,22549,17333,57336,10993,30049,9409,11451,9096,9724,10628,9865,11207,10621,11616,10464,15331,10573,17414,11254,25095,15642,49856,22088,18873,15244,13206,9229,12643,8489,10427,8406,4401,5414,12,360,0,0,0,0,0,0
20-Jul,경부선,123,용산,368,7,4212,5746,5109,32607,19828,70695,27835,148579,28409,91119,23769,67491,35458,52721,35839,53814,44444,55933,43941,52529,63256,50904,70773,50294,103800,53671,149873,69168,85759,43997,72151,27819,71705,21320,45550,13762,16679,5524,523,1445,0,0,0,0,0,0
20-Jul,경부선,124,노량진,445,3,5226,1580,6884,5980,18248,14393,23533,22851,13152,12947,9472,8552,9679,7891,11111,9830,13939,12195,11830,9454,11687,10767,14164,12502,18297,19719,24105,34983,14474,21569,13739,12681,16924,11464,18431,10307,6428,7501,85,505,0,0,0,0,0,0
20-Jul,경부선,125,대방,538,4,5546,2905,11639,12125,31436,38200,40569,54420,21753,23413,15531,11522,14495,10602,14890,11614,15396,13113,14734,12167,16626,13602,18965,16103,32514,22866,50255,39060,19084,26202,13130,17530,13171,16410,10158,15218,2873,9844,28,897,0,0,0,0,0,0
20-Jul,경부선,126,영등포,4709,49,17862,6464,17092,23777,39524,62217,55530,126739,38574,91020,31059,66878,37577,67389,44325,66986,49458,70402,55487,65609,65424,68714,77390,71091,99549,83706,151830,120819,88412,78536,92597,39794,77639,29777,63040,26227,25115,14098,169,3302,0,0,0,0,0,0
20-Jul,경부선,127,신도림,628,2,2289,689,3818,2538,10667,7312,13234,16731,6355,6744,4203,4214,3889,4025,4219,4194,4190,4524,4131,4336,4473,5192,5312,5464,9063,8488,15539,14271,6454,8989,4942,4992,4924,4790,3455,4124,1596,2565,21,1756,0,0,0,0,0,0
20-Jul,경부선,151,신길,909,7,11253,2311,10605,5614,24208,16940,32041,30029,18127,10526,10826,6419,9682,6185,10035,7543,10445,7345,9244,7481,10870,8835,14041,10016,18005,16120,32823,23503,13161,17052,7778,11111,7489,11671,5565,10596,2166,6991,16,994,0,1,0,0,0,0
20-Jul,경부선,249,구로,11610,37,23211,4962,19713,14410,37979,35469,38909,83509,24569,40322,19066,21672,17876,17700,18960,16705,19414,18214,19592,17806,21839,20212,28153,23009,47113,33718,67726,42468,28247,30371,17633,19855,15703,20533,12480,17267,5443,14791,52,11953,0,2,0,0,0,0
20-Jul,경부선,250,가산디지털단지,1202,5,8401,2375,7141,13023,14295,54657,13900,162091,9528,79886,8711,22436,9621,15170,11452,14295,12469,16165,12781,14160,15251,14283,22189,16339,60016,21357,122135,26648,48230,19310,29276,11839,25012,11214,16953,10426,6448,6349,111,1358,0,0,0,0,0,0
20-Jul,경부선,251,금천구청,733,4,11564,1780,18562,5694,47938,15778,43714,30288,23096,10970,15387,8634,13525,8245,13742,10791,12853,11595,11828,11596,12302,14843,13518,16842,16243,24432,25748,44278,12018,33386,9013,17102,7528,17483,6003,15190,2123,10363,49,914,0,0,0,0,0,0
20-Jul,경부선,252,석수,499,0,7987,2760,17459,6405,40923,13143,41245,18497,21186,12435,13105,8923,11497,6407,12024,7663,11264,8229,10703,7993,12565,10283,14696,12438,18647,18084,20567,33412,11404,28922,7502,15659,6299,17025,4435,14712,1792,8765,53,1087,0,0,0,0,0,0
20-Jul,경부선,253,관악,196,1,7599,2238,12585,4379,34417,5834,31216,9692,15055,8850,9564,8304,8381,6150,9108,7022,8870,6600,8465,6964,8897,8004,11102,9589,12290,14034,11350,27415,6974,23519,5338,12600,4829,12315,2852,10934,1053,7622,64,1397,0,0,0,0,0,0
20-Jul,경부선,254,안양,366,8,14897,3826,32539,12573,81947,18248,71663,31579,38029,26422,26255,23822,25516,25322,28555,26704,28292,29677,27120,28503,30100,31702,35963,35511,40359,51399,38294,82474,25081,71360,22775,39193,24970,31340,20518,26290,8690,20390,457,3792,2,2,0,0,0,0
20-Jul,경부선,255,명학,195,2,7030,2816,10191,9908,25891,23150,22295,56209,11241,12889,7870,7292,7838,6350,8816,6513,8916,7328,8261,6442,9488,7117,12621,8269,22911,10726,39195,19703,11994,17334,11579,10403,8911,9015,5025,8438,1769,6200,67,1263,0,0,0,0,0,0
20-Jul,경부선,256,금정,377,4,22783,8054,35373,23977,83107,41259,83604,88099,44607,29482,28793,18875,26994,19359,28371,21430,26899,22464,24747,24432,26257,28008,32987,36279,57047,51226,74389,80583,33558,72333,26502,42447,22883,40272,18114,36461,7664,26904,562,6652,1,0,0,0,0,0
20-Jul,경부선,257,군포,120,4,5566,2097,9109,7429,18588,27945,17530,44407,9024,7086,6538,4879,6362,4429,6693,4979,6331,5317,6116,4912,6281,6181,8349,7180,19424,10669,36086,13430,12280,13340,9850,8051,6245,7285,3874,5924,1446,4795,94,686,0,0,0,0,0,0
20-Jul,경부선,258,의왕,157,2,6457,1962,12773,8036,30810,26009,29797,26033,12119,9014,9520,6277,9240,6273,9474,6390,9901,7897,8751,7334,9367,9055,11965,11429,25154,16344,23869,26302,11206,23250,8775,14662,6805,12474,4425,11452,1940,8054,109,1581,0,0,0,0,0,0
20-Jul,경부선,259,성균관대,127,3,8718,1815,27923,5345,65752,9584,52489,20482,22860,13914,17144,10224,15129,11792,16632,11606,15944,15654,14771,14165,15763,16596,18457,19682,23252,30466,24245,53439,13502,51387,11643,28999,11078,25464,9802,22893,4388,16512,256,3614,1,1,0,0,0,0
20-Jul,경부선,260,화서,398,5,6891,1479,19966,6271,39545,5357,27839,9422,11637,5456,8794,4869,8152,5329,7784,5172,7680,6875,6633,6436,7356,7900,9577,8618,11018,17854,9502,29266,5566,26044,4679,15190,4069,13336,3242,11500,984,7796,76,1709,0,0,0,0,0,0
20-Jul,경부선,261,수원,2415,25,21216,6797,36002,29329,75200,55012,66364,72825,40128,60944,36064,51243,40097,53139,44081,62613,46149,62666,47551,61101,56332,61338,71635,68740,81443,85377,95886,114528,72883,94632,74697,54074,59366,44406,52178,36615,20315,25183,573,6775,0,0,0,0,0,0
20-Jul,경부선,262,독산,624,10,7326,3327,16723,14240,39833,39664,38020,98217,19442,44614,14664,15771,13727,11241,15686,12481,15328,13421,14344,11872,16059,14351,23229,16561,48323,22733,74922,40175,33422,32555,18001,17749,14126,19103,9186,16530,2764,10203,77,623,0,0,0,0,0,0
20-Jul,경부선,263,세류,431,3,3213,776,7511,2616,14592,4132,9316,4752,4758,2718,3793,2709,3750,2883,3465,2930,3377,2865,3087,2755,3675,3274,4351,4571,5747,5991,5703,9624,3516,9045,2920,6250,2430,5591,1436,4570,483,2962,14,1159,0,0,0,0,0,0
20-Jul,경부선,264,병점,2885,11,7634,3533,23389,11003,48386,20667,35277,25485,20734,14050,17161,10686,17472,12205,18186,12852,16558,14144,15852,14318,19308,15302,21910,21240,30115,27438,33673,41749,17495,39939,12747,26585,11467,23853,8206,21247,2556,14589,24,7730,0,0,0,0,0,0
20-Jul,경부선,265,세마,272,6,2108,781,5083,1774,8897,3413,6928,6477,5256,2151,3397,1595,3230,2005,3100,1940,3529,2556,2977,2498,3044,1929,4027,3585,4816,5006,6000,7082,2677,7140,1825,4551,2014,4066,887,3961,433,2292,36,186,0,0,0,0,0,0
20-Jul,경부선,266,오산대,183,0,2250,703,5384,2182,9572,3628,6248,7293,4484,2914,3502,2871,3251,2939,3620,2579,4007,3900,3606,3340,4048,2342,5254,3993,6045,5540,7686,8913,3817,6860,3197,4530,2894,4572,1927,3325,1023,2421,77,120,0,0,0,0,0,0
20-Jul,경부선,267,오산,426,1,5868,1296,14451,7906,20276,22739,18967,18717,14060,12503,12569,8965,13046,8543,14052,10464,12647,11518,12944,11800,13505,13776,16327,15549,23328,19450,24806,26050,14600,20949,12220,17112,9113,13187,5770,10412,2111,6758,73,381,0,0,0,0,0,0
20-Jul,경부선,268,진위,6,0,707,264,1526,2482,2646,6610,2432,7355,1612,1437,1324,1068,1289,1052,1736,868,1389,1083,1468,983,1946,1128,2646,1405,5805,1797,8024,2405,2875,2361,1873,1115,1346,1655,692,1581,197,661,6,52,0,0,0,0,0,0
20-Jul,경부선,269,송탄,110,3,6467,760,7660,3065,12790,5122,9071,7630,7062,3835,5965,3214,6360,4110,6414,4628,6363,4504,5363,5170,6208,6011,7602,6532,8192,9701,9293,10454,5575,11769,4277,7414,3648,8352,2214,7560,858,4582,62,530,0,0,0,0,0,0
20-Jul,경부선,270,서정리,73,2,3062,7239,8112,7290,11818,11481,10536,14781,7696,6771,7789,6002,8319,5698,9672,8151,8742,7977,9452,6585,10230,6354,12780,11089,19236,11720,18160,12624,9851,13948,7318,8708,4902,8210,2876,7599,886,5574,20,768,0,0,0,0,0,0
20-Jul,경부선,271,지제,21,1,859,1693,2557,5316,6117,8461,4427,5682,2792,2793,2399,1741,2408,2427,3445,2517,2269,2025,2908,2062,4143,3192,4909,3037,8475,3197,8017,5654,4914,4419,2948,2947,3231,2902,2428,2803,711,1792,0,143,0,0,0,0,0,0
20-Jul,경부선,272,평택,217,2,7289,2634,14446,8383,25600,16078,21645,20788,17684,17150,16478,13641,16007,17395,17062,17523,17530,18247,17568,19232,19069,19986,24298,24061,28637,28194,27851,30946,20234,25281,19212,18492,14109,15272,10537,12218,5097,8033,44,1940,0,0,0,0,0,0
20-Jul,경부선,273,성환,32,0,1939,733,2938,1916,6017,10468,5612,10926,4708,4014,4508,3563,4777,3679,4763,4625,6061,3957,5439,4262,6083,4214,7172,5071,12067,6068,9217,6812,4584,5534,4195,4548,2457,4634,1402,4193,680,3343,47,758,0,0,0,0,0,0
20-Jul,경부선,274,직산,94,8,522,313,1286,919,1756,1941,1108,3088,1158,905,942,827,862,911,1001,858,989,904,889,721,1116,794,1072,1189,2419,1233,2767,1381,952,1631,805,862,569,1056,365,746,156,662,12,112,0,0,0,0,0,0
20-Jul,경부선,275,두정,1088,4,3952,755,8281,2456,12670,6514,9993,7409,6686,6721,6397,3679,6180,5528,6066,6048,6505,6836,6581,6252,6889,6467,7665,8317,10216,10200,10104,13965,6137,10385,5316,9841,4488,7511,3745,6760,1988,5345,24,1604,0,0,0,0,0,0
20-Jul,경부선,276,천안,1421,3,2657,660,5088,3612,9017,5075,7707,8486,8079,9124,7882,8676,9416,9875,8217,9826,9346,11080,10213,8490,10988,12326,11700,10015,11925,11439,11909,12714,8603,9745,6547,8692,5744,4465,3257,4784,1400,2604,9,2233,0,0,0,0,0,0
20-Jul,경부선,277,당정,15,0,3649,1106,11285,3303,26355,7904,21955,16128,10483,6120,7322,3737,7167,4065,7153,4590,7252,4903,6097,4911,7197,6357,7966,7823,10680,11821,15703,17989,6482,19924,5091,11921,3789,10307,3058,9525,1258,7751,97,1562,0,0,0,0,0,0
20-Jul,경부선,278,서동탄,0,0,1354,4,4989,752,11444,1845,4221,1766,2122,844,1736,785,1689,1082,1649,1248,1497,1088,1437,1368,1843,1778,1913,1675,2316,3117,2693,4207,1220,6335,932,2769,707,2201,530,2456,126,1802,7,1279,0,1,0,0,0,0
20-Jul,경부선,279,광명,0,0,14,2612,2957,3431,13501,4207,10677,3510,5776,3273,1056,2499,3802,1791,4605,2578,3341,2226,3131,4923,3538,2869,9872,3292,1817,5090,7645,11756,7441,7791,1457,4021,4624,2553,1805,4854,420,70,1,0,0,0,0,0,0,0
20-Jul,경인선,293,개봉,1323,19,19024,6667,37471,11809,95057,16178,87491,24979,49062,19792,32313,15160,28701,17822,29598,20854,27549,20523,24459,24723,23628,29792,27407,36886,30876,57228,31253,94475,18741,71755,14770,42439,12507,38145,8929,33460,4156,20831,165,3544,0,0,0,0,0,0
20-Jul,경인선,294,오류동,756,9,12493,2108,18999,5746,52686,6250,50986,11199,26082,9671,17493,9385,15483,9274,17117,11226,15330,11526,13223,12911,12774,16016,14446,18009,15784,24740,15605,45445,9039,37665,7197,23245,6235,20194,5111,18449,1893,11500,147,2317,0,0,0,0,0,0
20-Jul,경인선,295,역곡,1153,15,27331,4298,46643,10670,127643,13736,120783,28033,59988,21775,37361,20178,33088,21442,33798,23858,32599,26703,27936,28642,27733,31594,30643,45288,34242,64263,34737,115901,22028,99596,18509,55798,16448,50191,14148,46609,6083,29778,478,3999,0,0,0,0,0,0
20-Jul,경인선,296,부천,2866,29,35334,5270,43005,13232,110754,20620,110135,44857,57968,41126,42200,35860,42784,37479,44064,43553,45377,47066,42161,49060,45651,49127,52083,58514,56254,78674,59801,125905,40806,111635,34950,59588,35314,52205,30955,44037,14650,33058,1177,6160,0,0,0,0,0,0
