사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Jul,2호선,18,왕십리(성동구청),790,1,7265,897,10563,5822,28031,12380,47379,28742,28165,18498,18200,13407,18915,14113,20577,16164,21567,17602,21194,17702,23065,19547,29707,23147,34498,33492,39686,58269,24650,37884,22443,21386,25933,18401,27743,18232,14840,14818,101,382,0,1,0,0,0,0
20-Jul,2호선,19,한양대,4,0,1120,327,2986,5477,5650,11534,9031,28376,6075,38550,4996,16865,6844,10186,8363,12617,9013,12161,9121,9950,11242,8166,18776,7729,29712,8379,25175,10442,12561,6932,9853,4925,9201,4667,7731,4500,3344,3545,6,40,2,3,0,0,0,0
20-Jul,2호선,20,뚝섬,40,0,3958,2003,8863,15234,21172,31553,29730,130036,17568,77774,13443,30177,13257,23453,16418,25005,19745,27274,22447,24662,26488,25051,33304,27756,52856,32489,116289,44069,57050,29031,34530,15116,31414,12494,24127,11802,7915,8750,3,202,1,1,0,0,0,0
20-Jul,2호선,21,성수,39,0,5710,3700,10656,28228,25617,66770,32712,269182,24227,119802,19920,42402,20895,34155,23234,37467,29267,40960,32331,38783,37655,39124,48572,39540,97616,44684,213617,57820,88193,36886,51565,19174,51279,15116,40485,14761,12336,13339,15,5554,0,1,0,0,0,0
20-Jul,2호선,22,건대입구,321,21,18805,2287,23305,19614,57704,26983,94898,62670,61437,47370,34149,37735,32652,40542,37602,49875,40947,57358,42339,57200,48081,62271,56654,72471,69217,99594,85151,161199,61092,119204,64011,66568,72729,57926,81360,52661,41762,33719,37,4746,0,0,0,0,0,0
20-Jul,2호선,23,구의(광진구청),30,1,13881,1441,27028,9792,71646,15260,117037,39995,65792,24945,33172,19687,27386,19317,28359,21318,29008,23635,26021,25735,26177,31825,29868,37143,35326,51684,44758,92232,23920,71637,18987,44944,17815,40993,16415,41315,7150,22855,16,2181,0,0,0,0,0,0
20-Jul,2호선,24,강변(동서울터미널),27,1,9288,2774,29392,22110,85174,27117,117260,50067,81094,42516,57227,40447,51748,38001,51271,42416,51338,46096,46904,50215,48638,57261,52115,64563,58444,79867,67984,124772,52327,88797,39869,57810,33256,46846,24261,49352,8252,27598,13,1641,0,0,0,0,0,0
20-Jul,2호선,25,잠실나루,4,0,2995,1729,12459,11537,41679,23577,47652,38041,28798,26386,21070,17926,20955,15627,20347,18482,18830,19181,20744,17022,22444,16707,27130,18060,33665,24274,32547,40096,16457,31245,11497,18314,9191,16966,6886,17420,2489,11326,3,211,0,0,0,0,0,0
20-Jul,2호선,26,잠실(송파구청),71,0,12105,5412,50123,35990,118657,77683,167291,168844,117825,135942,72320,79930,73658,81588,79686,86122,86760,89544,87682,89606,97030,94455,114992,110225,160371,144240,210671,224602,132343,156668,122288,90939,98796,84128,84859,83879,26198,52462,30,1313,0,0,0,0,0,0
20-Jul,2호선,27,잠실새내,18,1,5064,971,17453,8428,58795,16218,73089,26020,42654,28613,25793,22556,24921,23275,26688,24588,27585,29331,25908,29705,28485,32391,32610,37891,34943,53438,39642,87985,29524,62448,25823,34356,26552,29482,26992,28857,13140,16746,19,1734,1,1,0,0,0,0
20-Jul,2호선,28,종합운동장,3,2,1741,1079,6242,6907,18314,12323,23948,22142,17282,11449,10424,7245,8835,7168,9128,8168,9881,9054,9678,8858,10338,10728,13500,12735,15030,18019,17500,27078,10196,18172,7497,10876,8946,10768,6407,11358,1702,6964,5,611,0,0,0,0,0,0
20-Jul,2호선,29,삼성(무역센터),163,3,5329,5190,7705,48227,17026,140259,22091,350438,20506,258497,21477,100226,31717,71772,39770,63113,50115,70121,63038,61222,79669,54173,101173,49987,189947,54666,319820,65106,178892,37788,116828,17968,100254,14674,71892,12663,16383,9039,13,4380,0,0,0,0,0,0
20-Jul,2호선,30,선릉,106,5,5528,7090,11324,42598,22121,122147,31918,306782,30330,228247,32737,97190,43267,62054,51095,53824,60979,61090,70248,54551,87823,47851,123901,46484,184957,53653,312227,60371,154123,38505,93274,21861,90997,17978,78303,17048,24602,11293,15,327,0,0,0,0,0,0
20-Jul,2호선,31,역삼,45,0,4164,8020,9093,45168,14938,128421,25757,353026,23577,289149,22556,105162,30936,63790,37423,55708,46282,62480,54750,54943,72592,49135,91456,42895,192896,50693,297834,62224,145813,39907,82005,21886,83675,17032,63194,13722,22192,10076,17,48,0,0,0,0,0,0
20-Jul,2호선,32,강남,148,3,11587,13110,20828,60838,40211,169238,64543,362109,51776,369365,49362,166378,69728,126888,90487,124776,115778,149156,120624,124756,149432,116880,171492,118460,258243,153591,391365,223150,237985,143439,182879,63039,219395,46985,231414,38417,81675,27708,66,119,0,0,0,0,0,0
20-Jul,2호선,33,교대(법원.검찰청),19,1,2543,7645,12986,29370,26772,63772,37328,158776,28058,146150,25800,70185,32221,55921,36315,52602,43943,58793,51410,55030,59153,50348,64289,49322,98909,59608,158523,79821,74128,49425,54154,26000,60601,22344,59391,20620,19202,13919,24,169,0,0,0,0,0,0
20-Jul,2호선,34,서초,28,0,1405,5245,7799,21676,14499,52243,24368,127435,24272,88721,18372,36388,22221,26822,21013,22135,26324,25046,29364,25176,35793,22685,41038,21432,71780,23329,111097,25722,46601,17547,28565,10286,31464,9230,22534,9097,6312,5084,6,17,0,0,0,0,0,0
20-Jul,2호선,35,방배,7,0,2975,3775,9866,14120,24529,30672,33684,77127,26353,43666,18069,21733,17583,17590,20342,18231,21742,20090,21862,20594,24211,20540,29897,22742,42233,29494,72308,39491,29825,30106,20748,18291,21191,17609,18061,18695,6084,10627,4,166,0,1,0,0,0,0
20-Jul,2호선,36,사당,202,1,13961,4083,26963,30928,79438,44578,104037,66396,72701,49642,43773,40009,39115,43501,45126,44741,47727,46750,47896,47937,49913,56949,54798,75050,71393,107945,97475,170494,64663,124182,56005,69377,64276,64112,66775,65168,33157,42075,44,4441,0,6,0,0,0,0
20-Jul,2호선,37,낙성대(강감찬),40,1,12686,2104,27830,9518,86797,20720,132083,37849,83207,31729,40667,24550,33233,21201,35883,24146,35598,26181,33131,28194,35022,33590,36343,39825,44026,56290,52240,101511,30374,90085,22398,55961,21181,51662,18103,55357,7538,32827,14,2973,0,0,0,0,0,0
20-Jul,2호선,38,서울대입구(관악구청),4031,11,29989,2835,46379,14824,134130,32652,196629,67825,124540,62871,66071,46543,57409,44047,61161,49048,65014,54594,60225,56670,63961,63988,70701,74318,82047,103672,97780,179934,58211,155753,48183,90493,50453,83347,48670,85080,20295,56272,5,16369,0,0,0,0,0,0
20-Jul,2호선,39,봉천,56,0,16104,1749,29703,7660,86363,14387,127192,26206,72869,21314,37286,18676,30168,19867,31071,20962,31772,22729,27564,25417,27182,32724,29305,36257,30409,51502,35278,87767,21140,75289,16473,45629,15121,42115,12753,41359,4045,26769,5,496,1,1,0,0,0,0
